file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\ShellInputSource.java,com.topjohnwu.superuser.internal.ShellInputSource,interface,0,4,4,0,2,1,0,0,1,1.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,15,0,0
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\HiddenAPIs.java,com.topjohnwu.superuser.internal.HiddenAPIs,class,5,6,1,5,14,1,0,7,3,0.75,0.0,0.0,3,3,0,0,0,3,4,0,0,0,4,4,1,3,0,0,1,0,4,58,0,0,2,5,0,7,7,7,0,6,3,0,0,0,73,0,0
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServiceManager.java,com.topjohnwu.superuser.internal.RootServiceManager$BindTask,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\IOFactory.java,com.topjohnwu.superuser.internal.IOFactory,class,6,10,4,6,9,1,0,3,10,1.0,0.0,0.0,5,4,4,1,0,0,4,0,0,0,1,1,0,0,0,1,1,0,3,28,4,0,0,0,0,6,1,2,1,1,1,0,0,0,30,17,0
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServiceManager.java,com.topjohnwu.superuser.internal.RootServiceManager$Predicate,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServiceServer.java,com.topjohnwu.superuser.internal.RootServiceServer$ServiceRecord,innerclass,4,4,0,4,1,1,0,1,0,0.8,NaN,NaN,1,0,0,0,0,1,1,0,0,0,5,0,0,0,0,5,2,0,1,10,0,0,0,0,0,0,0,2,0,5,0,0,0,0,15,10,0
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\StreamGobbler.java,com.topjohnwu.superuser.internal.StreamGobbler$OUT,innerclass,2,2,0,2,4,2,0,3,1,0.5,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,1,0,1,0,0,1,0,2,17,2,0,1,1,0,2,1,3,1,3,1,0,0,0,26,8,0
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\UiThreadHandler.java,com.topjohnwu.superuser.internal.UiThreadHandler,class,3,5,2,3,4,1,0,5,0,0.5,1.0,1.0,2,2,2,0,0,0,2,0,0,0,2,2,2,0,0,0,2,0,2,22,0,0,0,0,0,0,0,3,0,3,1,0,0,0,12,1,0
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\FileUtils.java,com.topjohnwu.superuser.internal.FileUtils$Flag,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,8,0
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\WaitRunnable.java,com.topjohnwu.superuser.internal.WaitRunnable,class,1,2,1,1,5,1,0,3,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,2,1,0,0,1,0,0,0,0,0,20,0,1,1,1,0,0,0,2,0,1,2,0,0,0,13,17,0
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\ShellIO.java,com.topjohnwu.superuser.internal.ShellIO,class,13,17,4,13,63,2,1,31,30,0.7125,0.32380953,0.52380955,16,1,11,1,2,2,15,0,0,0,5,1,0,3,0,2,2,0,11,179,17,3,15,0,8,12,48,50,23,40,3,0,0,3,86,0,0
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\io\SuFileOutputStream.java,com.topjohnwu.superuser.io.SuFileOutputStream,class,5,6,1,5,8,1,0,3,10,0.0,0.0,0.0,5,4,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,27,6,0,0,1,0,0,0,0,0,0,3,0,0,0,44,17,0
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServerMain.java,com.topjohnwu.superuser.internal.RootServerMain$ResourcesWrapper,innerclass,2,2,0,2,3,2,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,1,0,4,0,3,0,3,1,0,0,0,19,8,0
E:\OOD\projectsnew\libsu-master\example\src\main\java\com\topjohnwu\libsuexample\MainActivity.java,com.topjohnwu.libsuexample.MainActivity$AppendCallbackList,innerclass,1,1,0,1,1,4,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,1,0,0,0,0,0,0,1,29,0,0
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\OpenFile.java,com.topjohnwu.superuser.internal.OpenFile,class,5,8,3,5,41,1,0,24,0,0.6333333,1.0,1.0,10,0,1,3,0,6,7,0,0,7,6,1,0,3,0,3,1,0,6,140,8,4,10,3,0,0,17,29,0,19,3,0,0,0,58,0,0
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\Shell.java,com.topjohnwu.superuser.Shell$Initializer,innerclass,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,57,9,0
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\Shell.java,com.topjohnwu.superuser.Shell$GetShellCallback,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
E:\OOD\projectsnew\libsu-master\example\src\main\java\com\topjohnwu\libsuexample\MainActivity.java,com.topjohnwu.libsuexample.MainActivity,class,21,23,2,21,14,6,0,29,0,0.4583333,0.33333334,0.33333334,3,0,1,1,1,0,3,0,0,0,8,1,1,7,0,0,3,0,2,182,1,0,9,1,0,14,0,11,3,24,3,0,4,10,60,1,0
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServiceManager.java,com.topjohnwu.superuser.internal.RootServiceManager$RemoteServiceRecord,innerclass,3,3,0,3,1,1,0,0,0,0.25,NaN,NaN,1,0,0,0,0,1,1,0,0,0,4,0,0,0,0,4,3,0,0,11,0,0,0,0,0,0,1,4,0,4,0,0,0,0,12,10,0
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServiceManager.java,com.topjohnwu.superuser.internal.RootServiceManager$ServiceKey,innerclass,2,2,0,2,3,2,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\FileSystemService.java,com.topjohnwu.superuser.internal.FileSystemService,class,9,10,1,9,56,2,0,43,85,0.74264705,0.4046346,0.4046346,34,0,34,0,0,0,34,0,0,0,4,1,0,3,0,1,4,0,3,228,47,2,1,17,1,3,14,18,1,11,4,1,0,3,99,0,0
E:\OOD\projectsnew\libsu-master\example\src\main\java\com\topjohnwu\libsuexample\StressTest.java,com.topjohnwu.libsuexample.StressTest,class,7,8,1,7,28,1,0,49,0,0.5714286,0.33333334,0.33333334,10,10,2,8,0,0,3,0,0,0,7,7,0,7,0,0,4,0,19,175,3,5,3,9,0,13,12,42,6,39,4,0,1,5,69,1,0
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServiceServer.java,com.topjohnwu.superuser.internal.RootServiceServer$ClientProcess,innerclass,5,5,0,5,2,2,0,3,0,0.25,1.0,1.0,2,0,0,0,1,1,2,0,0,0,2,0,0,0,0,2,2,0,1,14,0,0,0,0,0,1,0,2,1,2,0,0,0,0,16,2,0
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\NoShellException.java,com.topjohnwu.superuser.NoShellException,class,0,1,1,0,2,4,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServiceServer.java,com.topjohnwu.superuser.internal.RootServiceServer,class,23,27,4,23,50,4,0,61,66,0.775,0.0,0.0,16,1,9,7,0,0,9,0,0,0,5,1,0,5,0,0,4,0,27,239,7,3,13,5,1,16,20,36,9,25,4,0,3,6,102,1,0
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\DataOutputImpl.java,com.topjohnwu.superuser.internal.DataOutputImpl,interface,4,6,2,4,14,1,0,12,78,0.0,0.0,0.0,13,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,2,69,0,0,0,0,15,0,37,25,14,10,0,0,0,0,27,0,0
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\BuilderImpl.java,com.topjohnwu.superuser.internal.BuilderImpl,class,11,15,4,11,29,2,0,19,24,0.8125,0.071428575,0.071428575,8,0,7,0,0,1,8,0,0,0,4,1,0,3,0,1,1,0,11,99,7,2,7,5,1,10,3,22,1,11,3,0,0,0,57,17,0
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\RAFWrapper.java,com.topjohnwu.superuser.internal.RAFWrapper,class,3,5,2,3,40,2,0,39,0,0.0,1.0,1.0,40,0,39,0,0,1,40,0,0,0,1,0,0,1,0,0,1,0,0,123,20,0,0,0,0,0,0,1,0,1,0,0,0,0,50,0,0
